bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,2,0,0,2,51,28,2020-06-02 09:15:00
1,1002,5,0,0,3,145,111,2020-06-02 09:15:00
1,1003,2,0,0,2,126,117,2020-06-02 09:15:00
1,1004,1,0,0,1,20,20,2020-06-02 09:15:00
1,1051,1,2,2,1,21,35,2020-06-02 09:15:00
1,1053,2,0,0,2,9,15,2020-06-02 09:15:00
1,1054,3,0,0,3,21,23,2020-06-02 09:15:00
1,1055,3,0,0,3,30,22,2020-06-02 09:15:00
1,1056,2,0,0,2,12,21,2020-06-02 09:15:00
1,1057,1,0,0,1,9,3,2020-06-02 09:15:00
1,1058,3,0,0,3,12,38,2020-06-02 09:15:00
1,1059,1,2,0,1,12,12,2020-06-02 09:15:00
1,1060,4,0,0,4,61,73,2020-06-02 09:15:00
1,1061,1,0,0,1,18,22,2020-06-02 09:15:00
1,1062,3,1,1,3,35,25,2020-06-02 09:15:00
2,2000,26,21,19,23,396,540,2020-06-02 09:15:00
3,3101,5,2,1,5,73,86,2020-06-02 09:15:00
3,3102,2,0,0,2,10,17,2020-06-02 09:15:00
3,3103,1,1,0,1,27,21,2020-06-02 09:15:00
3,3151,2,0,0,2,8,28,2020-06-02 09:15:00
3,3153,3,0,0,3,54,35,2020-06-02 09:15:00
3,3154,1,0,0,1,18,18,2020-06-02 09:15:00
3,3155,2,0,0,2,12,11,2020-06-02 09:15:00
3,3157,1,0,0,1,10,12,2020-06-02 09:15:00
3,3158,1,2,2,1,6,10,2020-06-02 09:15:00
3,3159,8,3,1,7,73,141,2020-06-02 09:15:00
3,3241,16,23,13,16,164,330,2020-06-02 09:15:00
3,3251,3,0,0,3,7,7,2020-06-02 09:15:00
3,3252,4,1,0,4,18,57,2020-06-02 09:15:00
3,3254,5,1,1,4,42,56,2020-06-02 09:15:00
3,3255,1,0,0,1,4,10,2020-06-02 09:15:00
3,3256,1,0,0,1,14,20,2020-06-02 09:15:00
3,3257,1,0,0,1,7,16,2020-06-02 09:15:00
3,3351,3,0,0,1,9,32,2020-06-02 09:15:00
3,3352,2,0,0,2,7,11,2020-06-02 09:15:00
3,3353,3,0,0,3,26,40,2020-06-02 09:15:00
3,3354,1,0,0,1,16,7,2020-06-02 09:15:00
3,3355,2,0,0,2,17,21,2020-06-02 09:15:00
3,3356,2,1,0,2,5,10,2020-06-02 09:15:00
3,3357,3,0,0,2,6,28,2020-06-02 09:15:00
3,3358,3,0,0,3,13,22,2020-06-02 09:15:00
3,3359,3,0,0,2,16,21,2020-06-02 09:15:00
3,3360,2,0,0,2,34,45,2020-06-02 09:15:00
3,3361,2,0,0,2,4,11,2020-06-02 09:15:00
3,3401,1,0,0,1,10,19,2020-06-02 09:15:00
3,3402,1,0,0,1,12,9,2020-06-02 09:15:00
3,3403,5,4,4,3,110,102,2020-06-02 09:15:00
3,3404,4,4,1,4,76,48,2020-06-02 09:15:00
3,3405,1,0,0,1,12,22,2020-06-02 09:15:00
3,3451,3,0,0,2,15,25,2020-06-02 09:15:00
3,3452,3,0,0,3,17,25,2020-06-02 09:15:00
3,3453,3,2,0,3,13,34,2020-06-02 09:15:00
3,3454,7,1,1,7,51,50,2020-06-02 09:15:00
3,3455,2,0,0,2,14,23,2020-06-02 09:15:00
3,3456,1,0,0,1,9,21,2020-06-02 09:15:00
3,3457,3,1,1,2,20,18,2020-06-02 09:15:00
3,3458,1,0,0,1,8,7,2020-06-02 09:15:00
3,3459,8,0,0,7,86,36,2020-06-02 09:15:00
3,3460,3,0,0,3,35,21,2020-06-02 09:15:00
3,3461,1,0,0,1,5,1,2020-06-02 09:15:00
3,3462,1,0,0,1,7,6,2020-06-02 09:15:00
4,4011,10,4,2,9,90,97,2020-06-02 09:15:00
4,4012,2,2,2,2,6,18,2020-06-02 09:15:00
5,5111,12,3,3,11,88,225,2020-06-02 09:15:00
5,5112,13,7,3,9,98,159,2020-06-02 09:15:00
5,5113,15,8,6,14,118,233,2020-06-02 09:15:00
5,5114,6,1,0,4,25,74,2020-06-02 09:15:00
5,5116,5,3,1,4,40,81,2020-06-02 09:15:00
5,5117,2,2,1,2,25,29,2020-06-02 09:15:00
5,5119,6,0,0,4,39,43,2020-06-02 09:15:00
5,5120,1,0,0,1,16,20,2020-06-02 09:15:00
5,5122,3,4,4,3,42,51,2020-06-02 09:15:00
5,5124,5,3,3,5,88,100,2020-06-02 09:15:00
5,5154,5,1,0,5,23,44,2020-06-02 09:15:00
5,5158,5,3,0,5,21,37,2020-06-02 09:15:00
5,5162,7,1,0,6,44,76,2020-06-02 09:15:00
5,5166,4,0,0,4,40,24,2020-06-02 09:15:00
5,5170,9,5,2,8,58,111,2020-06-02 09:15:00
5,5314,16,10,5,11,74,215,2020-06-02 09:15:00
5,5315,26,5,3,18,84,361,2020-06-02 09:15:00
5,5316,4,0,0,2,36,52,2020-06-02 09:15:00
5,5334,8,8,7,7,59,217,2020-06-02 09:15:00
5,5358,5,0,0,4,24,29,2020-06-02 09:15:00
5,5362,7,0,0,7,29,52,2020-06-02 09:15:00
5,5366,3,2,1,3,2,38,2020-06-02 09:15:00
5,5370,3,3,0,3,13,23,2020-06-02 09:15:00
5,5374,7,1,0,7,33,87,2020-06-02 09:15:00
5,5378,4,0,0,4,25,27,2020-06-02 09:15:00
5,5382,6,2,0,6,16,72,2020-06-02 09:15:00
5,5512,2,1,1,2,42,25,2020-06-02 09:15:00
5,5513,6,0,0,4,61,73,2020-06-02 09:15:00
5,5515,6,3,3,6,41,218,2020-06-02 09:15:00
5,5554,5,3,2,5,35,47,2020-06-02 09:15:00
5,5558,3,0,0,3,18,18,2020-06-02 09:15:00
5,5562,14,0,0,14,98,186,2020-06-02 09:15:00
5,5566,5,4,4,5,22,69,2020-06-02 09:15:00
5,5570,4,1,0,4,26,29,2020-06-02 09:15:00
5,5711,4,2,1,4,31,116,2020-06-02 09:15:00
5,5754,3,0,0,3,25,29,2020-06-02 09:15:00
5,5758,4,2,2,3,26,42,2020-06-02 09:15:00
5,5762,5,0,0,5,26,18,2020-06-02 09:15:00
5,5766,2,0,0,2,26,55,2020-06-02 09:15:00
5,5770,6,4,3,6,53,99,2020-06-02 09:15:00
5,5774,4,2,2,4,39,74,2020-06-02 09:15:00
5,5911,8,1,1,6,96,159,2020-06-02 09:15:00
5,5913,9,4,0,9,64,242,2020-06-02 09:15:00
5,5914,5,1,1,5,35,48,2020-06-02 09:15:00
5,5915,6,1,1,5,48,50,2020-06-02 09:15:00
5,5916,4,3,2,4,28,40,2020-06-02 09:15:00
5,5954,6,0,0,6,40,70,2020-06-02 09:15:00
5,5958,9,4,3,9,57,65,2020-06-02 09:15:00
5,5962,7,3,0,7,35,54,2020-06-02 09:15:00
5,5966,3,1,1,3,25,13,2020-06-02 09:15:00
5,5970,6,0,0,6,38,100,2020-06-02 09:15:00
5,5974,6,0,0,5,21,49,2020-06-02 09:15:00
5,5978,6,1,1,6,35,68,2020-06-02 09:15:00
6,6411,7,1,0,4,45,70,2020-06-02 09:15:00
6,6412,15,10,6,12,82,229,2020-06-02 09:15:00
6,6413,2,2,2,2,55,59,2020-06-02 09:15:00
6,6414,5,6,4,4,58,66,2020-06-02 09:15:00
6,6431,5,0,0,5,20,27,2020-06-02 09:15:00
6,6432,2,6,1,2,3,24,2020-06-02 09:15:00
6,6433,2,1,1,2,4,18,2020-06-02 09:15:00
6,6434,3,0,0,3,10,21,2020-06-02 09:15:00
6,6435,4,3,2,4,34,58,2020-06-02 09:15:00
6,6436,2,1,0,2,11,19,2020-06-02 09:15:00
6,6437,2,6,2,2,17,117,2020-06-02 09:15:00
6,6438,2,7,5,2,22,35,2020-06-02 09:15:00
6,6439,2,0,0,2,13,9,2020-06-02 09:15:00
6,6440,5,3,0,5,58,73,2020-06-02 09:15:00
6,6531,4,9,3,4,55,215,2020-06-02 09:15:00
6,6532,2,0,0,2,17,47,2020-06-02 09:15:00
6,6533,3,0,0,3,23,41,2020-06-02 09:15:00
6,6534,3,1,1,3,46,135,2020-06-02 09:15:00
6,6535,4,0,0,4,20,17,2020-06-02 09:15:00
6,6611,6,2,2,6,44,145,2020-06-02 09:15:00
6,6631,3,1,0,3,23,57,2020-06-02 09:15:00
6,6632,3,0,0,3,30,48,2020-06-02 09:15:00
6,6633,3,1,1,3,18,17,2020-06-02 09:15:00
6,6634,3,1,0,3,31,20,2020-06-02 09:15:00
6,6635,7,0,0,7,49,76,2020-06-02 09:15:00
